"lake_id","site_id","visit","site_depth","site_wgt","lat","long","site_depth_units","site_wgt_units","sample_start","sample_end","chla_collection_date"
1010,"48",1,4.6,0.66,"38.048154"," -83.419190","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"49",1,2.8,0.66,"38.045096"," -83.427980","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"50",1,5.4,0.28,"37.951245"," -83.364846","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"51",1,1.3,0.49,"38.013455"," -83.392450","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"52",1,3.5,0.66,"38.043466"," -83.405400","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"53",1,2.8,0.845,"38.047443"," -83.464890","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"54",1,3.6,0.49,"37.968358"," -83.370050","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"55",1,2.8,0.49,"37.987091"," -83.414730","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"56",1,4.6,0.49,"38.029746"," -83.426446","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"57",1,6.1,0.845,"38.031025"," -83.454269","m","dimensionless",2016-08-08,2016-08-09,NA
1010,"58",1,9.3,0.845,"38.025936"," -83.471105","m","dimensionless",2016-08-08,2016-08-09,NA
1011,"1",1,1,0.3025,"40.765682"," -82.379126","m","dimensionless",2016-07-18,2016-07-19,2016-07-18
1011,"2",1,0.6,0.3025,"40.771321"," -82.379634","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"3",1,1.5,0.3025,"40.753787"," -82.375564","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"4",1,1.1,0.3025,"40.756471"," -82.372130","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"5",1,0.9,0.3025,"40.763805"," -82.376227","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"7",1,1,0.3025,"40.755552"," -82.380475","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"8",1,1.5,0.3025,"40.744890"," -82.368201","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"9",1,0.9,0.32,"40.769098"," -82.367791","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"11",1,1.6,0.32,"40.753202"," -82.369543","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"12",1,1.2,0.3025,"40.749022"," -82.375988","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"13",1,1.4,0.32,"40.762217"," -82.366982","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"14",1,0.5,0.3025,"40.775844"," -82.391997","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"15",1,1.1,0.3025,"40.760296"," -82.376319","m","dimensionless",2016-07-18,2016-07-19,NA
1011,"16",1,1.6,0.3025,"40.750039"," -82.369996","m","dimensionless",2016-07-18,2016-07-19,2016-07-18
1011,"17",1,0.8,0.3025,"40.752046"," -82.379896","m","dimensionless",2016-07-18,2016-07-19,NA
1012,"1",1,1.9,0.186153846153846,"39.382268"," -83.894993","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"2",1,5.3,0.186153846153846,"39.386606"," -83.901846","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"3",1,5.4,0.186153846153846,"39.386380"," -83.901846","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"4",1,7.8,0.186153846153846,"39.390743"," -83.914705","m","dimensionless",2016-06-02,2016-06-03,2016-06-02
1012,"5",1,2.3,0.186153846153846,"39.382588"," -83.896333","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"6",1,5.4,0.186153846153846,"39.385266"," -83.902913","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"7",1,4.6,0.186153846153846,"39.385093"," -83.900803","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"8",1,6.9,0.186153846153846,"39.388243"," -83.914770","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"9",1,1.7,0.186153846153846,"39.389851"," -83.907030","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"10",1,7.6,0.186153846153846,"39.383601"," -83.907631","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"11",1,1.5,0.186153846153846,"39.389568"," -83.900603","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"13",1,7.6,0.186153846153846,"39.386231"," -83.910988","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"14",1,3,0.186153846153846,"39.384771"," -83.894596","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"38",1,NA,0.125,"39.382853"," -83.885200","m","dimensionless",2016-06-02,2016-06-03,NA
1012,"41",1,NA,0.125,"39.381760"," -83.884685","m","dimensionless",2016-06-02,2016-06-03,2016-06-02
1013,"1",1,2.9,0.34875,"40.399403"," -83.054888","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"2",1,1.8,0.34875,"40.369158"," -83.071418","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"3",1,5.7,0.34875,"40.364043"," -83.062620","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"4",1,5.3,0.34875,"40.370361"," -83.054908","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"5",1,2,0.34875,"40.399530"," -83.051731","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"6",1,0.9,0.34875,"40.362500"," -83.067080","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"7",1,0.9,0.34875,"40.385120"," -83.060033","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"8",1,6.4,0.34875,"40.368830"," -83.053856","m","dimensionless",2016-06-08,2016-06-09,2016-06-08
1013,"29",1,2.6,0.207142857142857,"40.407913"," -83.053675","m","dimensionless",2016-06-08,2016-06-09,NA
1013,"30",1,0.9,0.207142857142857,"40.412528"," -83.046305","m","dimensionless",2016-06-08,2016-06-09,2016-06-08
1013,"31",1,1.6,0.207142857142857,"40.420020"," -83.052316","m","dimensionless",2016-06-08,2016-06-09,NA
